2026/09/21 22:11:17 INF MediaMTX v1.17.1, windows, amd64
2026/09/21 22:11:17 INF configuration loaded from C:\Omsystems\scratch\mediamtx-live-hotfix.yml
2026/09/21 22:42:54 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:43:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:05 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:05 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:07 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:07 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:07 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:07 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:11 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:24 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:24 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:54 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:44:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:04 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:09 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:10 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:10 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:13 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:13 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:15 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:45:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:00 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:01 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:14 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:16 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:18 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:20 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:23 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:24 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:24 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:25 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:30 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:36 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:46:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:21 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:21 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:28 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:28 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:31 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:31 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:49 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:55 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:55 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:56 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:47:59 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:02 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:03 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:06 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:08 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:25 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:25 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:41 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:41 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:48:48 ERR [API] json: unknown field "maxReorderedFrames"
